,x,y,Shape,xyGPS,xGPS,yGPS
N2919,1580720.6457615294,7780106.622963497,"(1580720.6457615294, 7780106.6229634974)","(1.4845152550378418, 45.214728650051995)",1.4845152550378418,45.214728650051995
N2920,1579726.8144424297,7777940.966903467,"(1579726.8144424297, 7777940.9669034667)","(1.4724452696891448, 45.195107080123115)",1.4724452696891448,45.195107080123115
N2921,1600391.6605111011,7765864.247995539,"(1600391.6605111011, 7765864.2479955386)","(1.7374007179502513, 45.090097693006271)",1.7374007179502513,45.09009769300627
N2922,1599547.770327645,7767609.690515673,"(1599547.7703276449, 7767609.6905156728)","(1.7263347106311424, 45.105640640349016)",1.7263347106311424,45.105640640349016
N2923,1586526.6853292915,7763474.615134333,"(1586526.6853292915, 7763474.6151343333)","(1.5622663620642929, 45.066431941187865)",1.562266362064293,45.066431941187865
N2924,1587944.7672042307,7764150.147307685,"(1587944.7672042307, 7764150.1473076846)","(1.5800695047595144, 45.072735680783886)",1.5800695047595144,45.072735680783886
N2925,1588755.392995241,7766432.912348144,"(1588755.3929952411, 7766432.9123481438)","(1.5898018681305364, 45.093363606319961)",1.5898018681305364,45.09336360631996
N2926,1587749.5453554573,7766607.11347633,"(1587749.5453554573, 7766607.1134763304)","(1.5770127726406424, 45.094758905329655)",1.5770127726406424,45.094758905329655
N2927,1588245.5637617644,7762145.199410538,"(1588245.5637617644, 7762145.1994105382)","(1.5843539335487493, 45.054788148524501)",1.5843539335487493,45.0547881485245
N2928,1589165.9472915386,7766522.402271559,"(1589165.9472915386, 7766522.4022715595)","(1.594984097672155, 45.094235307572177)",1.594984097672155,45.09423530757218
N2929,1586622.4229450815,7760270.3169956645,"(1586622.4229450815, 7760270.3169956645)","(1.5642468328218389, 45.037684408840363)",1.5642468328218389,45.03768440884036
N2930,1581573.9266294343,7776708.949328098,"(1581573.9266294343, 7776708.9493280984)","(1.4962086356138184, 45.184377595680935)",1.4962086356138184,45.184377595680935
N2931,1584077.5398604507,7777398.263675595,"(1584077.5398604507, 7777398.2636755947)","(1.5278221027009418, 45.191006653587621)",1.5278221027009418,45.19100665358762
N2932,1579547.430194606,7774973.654850197,"(1579547.4301946061, 7774973.654850197)","(1.4709265589288909, 45.168435493909008)",1.470926558928891,45.16843549390901
N2933,1581223.729568508,7777599.442608597,"(1581223.729568508, 7777599.4426085968)","(1.4915382954209835, 45.192309747992226)",1.4915382954209835,45.192309747992226
N2934,1583558.9003396034,7777789.515776175,"(1583558.9003396034, 7777789.5157761751)","(1.5211404290218926, 45.194428708109804)",1.5211404290218926,45.194428708109804
N2935,1584314.3610607858,7776248.917551402,"(1584314.3610607858, 7776248.917551402)","(1.5311112932859352, 45.180729347680675)",1.5311112932859352,45.180729347680675
N2936,1581076.1422333953,7775770.608729094,"(1581076.1422333953, 7775770.6087290943)","(1.4901263095455199, 45.175864857332584)",1.49012630954552,45.175864857332584
N2937,1591422.617089273,7777716.369751069,"(1591422.6170892729, 7777716.3697510688)","(1.6210076315998776, 45.195101034781864)",1.6210076315998776,45.195101034781864
N2938,1590268.0013294918,7763917.160609771,"(1590268.0013294918, 7763917.1606097706)","(1.6095562494777755, 45.071030263482342)",1.6095562494777755,45.07103026348234
N2939,1581017.4363758056,7780598.816448446,"(1581017.4363758056, 7780598.8164484464)","(1.4881605622945384, 45.219200634552365)",1.4881605622945384,45.219200634552365
N2940,1600709.6649821075,7770713.980638407,"(1600709.6649821075, 7770713.9806384072)","(1.7404110134376387, 45.133683700844813)",1.7404110134376387,45.13368370084481
N2941,1588823.1638694853,7769354.292051708,"(1588823.1638694853, 7769354.2920517083)","(1.5899730123774203, 45.119600614806572)",1.5899730123774203,45.11960061480657
